variedad;codigo;planta_bulk;fecha_ciclado;Ciclado;fecha_vidrio;SSR;1;2;3;4;5;5_1;6;7;8;1b9;1_1;1_2;2_1;9;10;11;12;13;14
NA 96-2929;113;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 89-1090;114;P3;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;1;0;1;0;;;;;;;;;
NA 89-1090;114;B1;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;1;0;1;0;;;;;;;;;
NA 89-1090;114;P3;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;1;0;1;1;;;;;;;;;
NA 89-1090;114;B1;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;1;0;1;0;;;;;;;;;
NA 89-1090;114;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;1;0;1;0;;;;;;;;;
NA 90-1001;115;B1;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 90-1001;115;P7;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 90-1001;115;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 98-597;116;P3;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;0;0;0;1;;;;;;;;;
NA 98-597;116;B1;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;0;0;0;1;;;;;;;;;
NA 98-597;116;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;0;0;0;1;;;;;;;;;
NA 02-2320;117;B1;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 02-2320;117;P3;13/2/2025;;17/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 02-2320;117;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 03-3300;118;B2;4/2/2025;;6/2/2025;NKS22;1;1;1;0;0;;0;0;0;0;;;;;;;;;
NA 03-3300;118;B3;4/2/2025;;6/2/2025;NKS22;1;1;1;0;0;;0;0;0;0;;;;;;;;;
NA 03-3300;118;B1;11/2/2025;;12/2/2025;NKS22;1;1;1;0;0;;0;0;0;0;;;;;;;;;
NA 03-3300;118;P2;30/1/2024;;31/1/2024;NKS22;0;1;1;0;0;;0;0;0;0;;;;;;;;;
NA 04-1613;119;B3;4/2/2025;;6/2/2025;NKS22;1;1;0;1;0;;1;1;0;0;;;;;;;;;
NA 04-1613;119;B1;11/2/2025;;12/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 04-1613;119;B2;11/2/2025;;12/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 04-1613;119;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 05-860;120;B1;11/2/2025;;12/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 05-860;120;B2;11/2/2025;;12/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 05-860;120;P2;30/1/2024;;31/1/2024;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 84-3013;121;B1;4/2/2025;;6/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
NA 84-3013;121;P8;19/2/2025;;24/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
Co 419;122;B1;4/2/2025;;6/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
LCP 85-384;125;B1;11/2/2025;;12/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
LCP 85-384;125;P6;11/2/2025;;12/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
LCP 85-384;125;P7;11/2/2025;;12/2/2025;NKS22;1;1;0;1;0;;0;0;0;0;;;;;;;;;
TUC 77-42;130;B1;4/2/2025;;6/2/2025;NKS22;1;1;0;1;0;;1;0;0;0;;;;;;;;;
NA 12-1621;102;P5;17/2/2025;;18/2/2025;NKS26;0;0;1;0;1;;1;0;;;;;;;;;;;
NA 12-1621;102;B1;17/2/2025;;18/2/2025;NKS26;0;0;1;0;1;;1;0;;;;;;;;;;;
NA 05-2019;103;B1;17/2/2025;;18/2/2025;NKS26;0;0;1;0;1;;1;0;;;;;;;;;;;
NA 05-2019;103;B1;17/2/2025;;18/2/2025;NKS26;0;0;1;0;1;;1;0;;;;;;;;;;;
NA 84-3920;104;B1;17/2/2025;;5/3/2025;NKS26;0;0;1;0;0;;1;1;;;;;;;;;;;
NA 84-3920;104;B1;17/2/2025;;18/2/2025;NKS26;0;0;1;0;0;;1;1;;;;;;;;;;;
NA 84-3920;104;P5;17/2/2025;;18/2/2025;NKS26;0;0;1;0;0;;1;1;;;;;;;;;;;
NA 85-1602;106;B1;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 85-1602;106;P2;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 76-128;108;P5;17/2/2025;;18/2/2025;NKS26;0;1;1;1;1;;1;0;;;;;;;;;;;
NA 97-567;112;B1;17/2/2025;;18/2/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 97-567;112;P4;17/2/2025;;18/2/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 89-1090;114;P4;17/2/2025;;18/2/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 89-1090;114;B1;17/2/2025;;18/2/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 90-1001;115;B1;17/2/2025;;5/3/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 90-1001;115;P5;17/2/2025;;18/2/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 90-1001;115;B1;17/2/2025;;18/2/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
NA 98-597;116;P3;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 98-597;116;P4;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 98-597;116;B1;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 02-2320;117;P3;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 02-2320;117;P1;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 02-2320;117;P2;17/2/2025;;18/2/2025;NKS26;0;1;1;0;1;;1;0;;;;;;;;;;;
NA 84-3013;121;B1;17/2/2025;;18/2/2025;NKS26;1;0;1;1;0;;1;0;;;;;;;;;;;
