variedad,codigo,planta_bulk,fecha ciclado,fecha vidrio,SSR,1,2,3,4,5,6,7,8,1B/9,,
NA 02-2320,117,P1,30/1/24,31/1/24,NKS26,0,1,1,1,1,1,0,,,,
NA 02-2320,117,P1,23/2/24,26/2/24,NKS26,0,1,1,0,1,1,0,,,,
NA 03-3300,118,P1,30/1/24,31/1/24,NKS26,0,1,1,1,1,1,0,,,,
NA 03-3300,118,P1,19/1/24,26/2/24,NKS26,0,1,1,1,1,1,0,,,,
NA 03-3300,118,B1,23/9/24,25/9/24,NKS26,1,1,1,1,1,1,0,,,,
NA 03-3300,118,B2,23/9/24,25/9/24,NKS26,1,1,1,1,1,1,0,,,,
NA 04-1613,119,P1,30/1/24,31/1/24,NKS26,0,0,1,0,1,1,0,,,,
NA 04-1613,119,P1,19/1/24,26/2/24,NKS26,0,1,1,1,1,1,0,,,,
NA 04-1613,119,B1,23/9/24,25/9/24,NKS26,0,1,1,0,1,1,0,,,,
NA 04-1613,119,B2,23/9/24,25/9/24,NKS26,0,1,1,0,1,1,0,,,,
NA 05-860,120,P2,30/1/24,31/1/24,NKS26,0,0,1,1,0,1,0,,,,
NA 05-860,120,P3,23/2/24,26/2/24,NKS26,0,0,0,1,0,1,0,,,,
NA 05-860,120,B2,28/6/24,1/7/2024,NKS26,0,1,1,1,0,1,1,,,,
NA 05-860,120,B1,28/6/24,1/7/2024,NKS26,0,1,1,1,0,1,1,,,,
NA 05-860,120,B1,28/6/24,1/7/2024,NKS26,0,1,1,1,0,1,1,,,,
NA 05-860,120,B1,28/8/24,2/9/2024,NKS26,0,1,1,1,0,1,0,,,,
NA 05-860,120,B2,28/8/24,2/9/2024,NKS26,0,1,1,1,0,1,0,,,,
NA 05-860,120,B2,23/9/24,25/9/24,NKS26,1,0,0,1,0,1,0,,,,
Co 419,122,B1,23/9/24,25/9/24,NKS26,0,0,1,0,0,0,1,,,,
Co 419,122,B1,23/9/24,25/9/24,NKS26,0,0,1,0,0,1,0,,,,
LSP 85-384,125,B1,23/9/24,25/9/24,NKS26,1,1,1,1,1,1,0,,,,
LSP 85-384,125,B2,23/9/24,25/9/24,NKS26,1,1,1,1,1,1,0,,,,
R570,126,B1,28/6/24,1/7/2024,NKS26,0,0,1,0,0,1,0,,,,
R570,126,CONTROL,28/6/24,1/7/2024,NKS26,0,0,1,0,0,1,0,,,,
TUC 77-42,130,B1,23/9/24,25/9/24,NKS26,0,1,0,0,1,1,0,,,,
CP 70-1133,131,B2,23/9/24,25/9/24,NKS26,0,0,1,0,0,1,0,,,,
NA 04-1754,134,B1,23/9/24,25/9/24,NKS26,0,0,1,0,0,1,0,,,,
NA 90-1015,135,B1,23/9/24,25/9/24,NKS26,0,1,1,1,1,1,0,,,,
TUC 69-2,139,B1,23/9/24,25/9/24,NKS26,0,1,1,0,1,1,0,,,,
FAM 83-264,141,B1,23/9/24,25/9/24,NKS26,0,0,1,0,0,1,0,,,,
SP 70-1284,144,B1,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,0,,,,
L 98-209,145,B1,23/9/24,25/9/24,NKS26,1,1,1,1,1,1,0,,,,
R570 6.5,151,P1,28/6/24,1/7/2024,NKS26,0,0,1,0,0,1,0,,,,
33.3A,152,P1,28/6/24,1/7/2024,NKS26,0,0,1,0,0,1,0,,,,
33.3B,153,P1,28/6/24,1/7/2024,NKS26,0,0,1,0,0,1,0,,,,
R570 14.2,154,P1,28/6/24,1/7/2024,NKS26,0,0,1,0,0,1,0,,,,
SP 70-1143,157,B1,23/9/24,25/9/24,NKS26,1,0,1,1,0,1,0,,,,
QAB 016,158,P2,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P3,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P4,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P5,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P6,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P7,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P8,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P9,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P10,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
QAB 016,158,P11,28/8/24,2/9/2024,NKS26,0,0,1,0,0,1,0,,,,
